Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#4,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#5,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#6,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#7,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#8,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#9,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#10,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
LF MSW Properties,LFMSW,frac_of_msw,Fraction of PFAS containing waste mixed with MSW,0.01,fraction,,,,,,,,
LF MSW Properties,LFMSW,bulk_dens,MSW bulk density - wet,1000,kg/m3,,,,,,,,
LF MSW Properties,LFMSW,ts_cont,Total solids content of the bulk MSW in the landfill  - wet,0.7,fraction wet weight,,,,,,,,
LF MSW Properties,LFMSW,C_cont,MSW organic C content -dry,0.5,fraction TS,,,,,,,,
LF Water Balance,Water_Blnc,leach_gpad,Leachate generation rate per area,250,gal/acre-day,,,,,,,,
LF Water Balance,Water_Blnc,is_leach_col,Is leachate collected,1,1:TRUE/0:FALSE,,,,,,,,
LF Water Balance,Water_Blnc,frac_leach_col,Fraction of leachate collected,0.998,fraction,,,,,,,,
Evaporation,Evaporation,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
LF Parameters,LF,lf_tot_tons,Cumulative mass of waste disposed,1000000,Mg,,,,,,,,
LF Parameters,LF,lf_area,Constructed area of landfill,100,acre,,,,,,,,
