Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Soil Log partition coefficient,SoilLogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#4,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#5,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#6,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#7,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#8,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#9,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#10,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Stabilization,Stabil,depth_mix,Depth of contamination to be treated,1,m,,,,,,,,
Stabilization,Stabil,appl_dens,Mass applied per area,20,kg/m2,,,,,,,,
Stabilization,Stabil,add_mass_ratio,Mass of additive per mass of soil,0.02,kg add./kg soil,,,,,,,,
Additive Properties,AddProp,ts_cont,Additive total solids content -wet,1,fraction wet weight,,,,,,,,
Additive Properties,AddProp,bulk_dens,Additive bulk density - wet,1000,kg/m3,,,,,,,,
Additive Properties,AddProp,add_liqsol_part_coef,Additive Log partition coefficient,5,log L/gm TS,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Percipication Data,Percip,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Percipication Data,Percip,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
