Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#4,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#5,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#6,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#7,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#8,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#9,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#10,Log partition coefficient,4.49,log L/gm OC,,,,,,,,
Amendment Material Properties,AmndProp,mass_ratio,Mass of amendment to mass of feedstock,0.2,kg/kg,,,,,,,,
Amendment Material Properties,AmndProp,ts_cont,Total solids content - wet,0.95,fraction wet weight,,,,,,,,
Amendment Material Properties,AmndProp,C_cont,Organic C content - dry,0.6,fraction TS,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,Summed PFAS,Summed PFAS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOA,PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOS,PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#4,PFAS#4 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#5,PFAS#5 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#6,PFAS#6 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#7,PFAS#7 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#8,PFAS#8 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#9,PFAS#9 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFAS#10,PFAS#10 concentration - dry mass,0,10e-6g/kg,,,,,,,,
Active composting Input,AComp,is_covered,Is active composting covered?,0,"1:TRUE,0:FALSE",,,,,,,,
Active composting Input,AComp,bulk_dens,Bulk density of initial active compost,400,kg/m3,,,,,,,,
Active composting Input,AComp,wind_ht,Windrow height,2,m,,,,,,,,
Active composting Input,AComp,wind_wid,Windrow width,3,m,,,,,,,,
Active composting Input,AComp,frac_C_lost,Fraction of organic C lost during active composting,0.4,fraction C,,,,,,,,
Active composting Input,AComp,ts_end,Solids content at the end of active composting - wet,0.5,fraction wet weight,,,,,,,,
Active composting Input,AComp,frac_sol_to_cw,Fraction of incoming solids to contact water,0,fraction,,,,,,,,
Active composting Input,AComp,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Active composting Input,AComp,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Active composting Input,AComp,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
Active composting Input,AComp,is_cw_col,Is contact water collected,1,"1:TRUE,0:FALSE",,,,,,,,
Active composting Input,AComp,frac_cw_col,Fraction contact water collection,0.98,fraction,,,,,,,,
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Curing Input,Curing,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
