Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Total destruction and removal efficiency,DRE,Summed PFAS,DRE of Summed PFAS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#4,DRE of PFAS#4,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#5,DRE of PFAS#5,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#6,DRE of PFAS#6,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#7,DRE of PFAS#7,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#8,DRE of PFAS#8,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#9,DRE of PFAS#9,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFAS#10,DRE of PFAS#10,0.99,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_steam,Fraction of incoming water to steam,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_slurry,Fraction of incoming water to slurry,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_steam,Fraction of destroyed and removed that remains in steam,0,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_slurry,Fraction of destroyed and removed that remains in slurry,0,fraction,,,,,,,,
