Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#4,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#5,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#6,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#7,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#8,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#9,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#10,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Land application,LandApp,appl_dens,kg dry applied per area,27,kg TS/m2,,,,,,,,
Land application,LandApp,depth_mix,Depth of soil mixed,0.1,m,,,,,,,,
Soil Properties,SoilProp,bulk_dens,Soil bulk density - wet,1000,kg/m3,,,,,,,,
Soil Properties,SoilProp,ts_cont,Soil total solids content -wet,0.85,fraction wet weight,,,,,,,,
Soil Properties,SoilProp,C_cont,Soil organic C content -dry,0.05,fraction TS,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Percipication Data,Percip,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Percipication Data,Percip,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
