Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
AD parameters,AD,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
AD parameters,AD,frac_VS_loss,Fraction VS destruction during AD,0.56,fraction,,,,,,,,Co-EAT has 56% for WWT solids and 80% for food
AD parameters,AD,frac_cured,Fraction of digestate cured,0.5,fraction,,,,,,,,
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Curing Input,Curing,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Log partition coefficient,LogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#4,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#5,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#6,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#7,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#8,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#9,Log partition coefficient,,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS#10,Log partition coefficient,,log L/gm OC,,,,,,,,
