design_name,factors,resolution
2**3-1,3,3
2**4-1,4,4
2**5-1,5,5
2**5-2,5,3
2**6-1,6,4
2**6-2,6,5
2**6-3,6,3
2**7-1,7,7
2**7-2,7,4
2**7-3,7,4
2**7-4,7,3
2**8-1,8,8
2**8-2,8,5
2**8-3,8,4
2**8-4,8,4
2**9-2,9,6
2**9-3,9,4
2**9-4,9,4
2**9-5,9,3
2**10-3,10,5
2**10-4,10,4
2**10-5,10,4
2**10-6,10,3
2**11-4,11,5
2**11-5,11,4
2**11-6,11,4
2**11-7,11,3
2**15-11,15,3
2**31-26,31,3
