field fid
333 2
436 1
436 2
485 2
531 1
531 2
531 3
532 1
532 2
530 1
530 2
530 3
580 1
580 2
695 1
695 2
736 1
736 2
775 1
775 2
807 1
807 2
866 2
867 2
868 2
864 1
864 2
865 1
865 2
331 2
280 2
282 2
283 2
385 2
284 2
489 1
489 2
488 1
488 2
330 2
540 1
540 2
539 1
539 2
437 2
384 1
384 2
543 1
543 2
544 1
544 2
490 2
863 1
863 2
804 1
804 2
831 1
831 2
803 1
803 2
832 1
832 2
806 1
806 2
805 1
805 2
830 1
830 2
821 1
821 2
820 1
820 2
822 1
822 2
817 1
817 2
818 1
818 2
845 1
845 2
844 1
844 2
843 1
843 2
852 1
852 2
862 1
862 2
487 1
487 2
383 1
383 2
538 1
538 2
483 1
483 2
535 1
535 2
484 1
484 2
536 1
536 2
842 1
842 2
841 2
1751 2
751 1
751 2
711 2
752 1
752 2
752 3
710 2
712 1
712 2
712 3
819 1
819 2
1824 2
718 1
718 2
718 3
719 1
719 2
719 3
717 1
717 2
717 3
1757 2
1756 2
757 1
757 2
757 3
756 1
756 2
756 3
1755 2
576 1
576 2
577 1
577 2
577 3
578 1
578 2
578 3
1571 2
1572 2
575 1
575 2
574 1
574 2
1569 2
523 1
523 2
523 3
746 2
747 2
527 1
527 2
528 1
528 2
528 3
476 1
476 2
475 2
424 2
425 1
425 2
516 2
567 2
566 2
583 2
584 1
584 2
533 2
582 1
582 2
582 3
586 1
586 2
585 1
585 2
587 1
587 2
860 1
860 2
743 2
616 2
615 2
632 1
632 2
379 1
379 2
482 2
534 1
534 2
431 2
430 1
430 2
1661 2
617 2
631 1
631 2
631 3
833 1
833 2
378 2
377 2
614 2
613 2
662 2
663 2
707 2
1706 2
708 2
664 2
1707 2
1748 2
709 2
619 2
1615 2
570 2
570 3
618 2
1663 2
612 2
611 2
1657 2
1608 2
648 1
648 2
692 1
692 2
790 1
790 2
792 1
792 2
792 3
793 1
793 2
759 1
759 2
759 3
791 1
791 2
791 3
846 1
846 2
645 1
645 2
646 1
646 2
760 1
760 2
760 3
794 1
794 2
789 1
789 2
758 1
758 2
758 3
786 1
786 2
787 1
787 2
749 2
748 2
750 2
750 3
788 1
788 2
624 1
624 2
624 3
671 1
671 2
671 3
670 1
670 2
670 3
623 1
623 2
753 1
753 2
753 3
1752 2
754 1
754 2
754 3
1753 2
703 2
660 2
661 2
1702 2
823 1
823 2
848 1
848 2
825 1
825 2
826 1
826 2
824 1
824 2
827 1
827 2
828 1
828 2
672 1
672 2
672 3
715 1
715 2
715 3
1714 2
673 1
673 2
673 3
674 1
674 2
674 3
1715 2
714 1
714 2
714 3
1710 2
713 1
713 2
713 3
1711 2
1712 2
677 1
677 2
677 3
630 1
630 2
630 3
629 1
629 2
676 1
676 2
676 3
1673 2
1669 2
625 1
625 2
625 3
1621 2
1622 2
1623 2
626 1
626 2
626 3
847 1
847 2
1671 2
668 1
668 2
668 3
1665 2
669 1
669 2
669 3
627 1
627 2
627 3
675 1
675 2
675 3
628 1
628 2
628 3
1749 2
797 1
797 2
761 1
761 2
761 3
795 1
795 2
796 1
796 2
762 1
762 2
762 3
799 1
799 2
798 1
798 2
763 1
763 2
764 1
764 2
766 1
766 2
765 1
765 2
1800 2
716 1
716 2
716 3
1670 2
1718 2
720 1
720 2
720 3
474 2
526 1
526 2
1462 2
521 1
521 2
1567 2
1568 2
678 1
678 2
678 3
1716 2
679 1
679 2
679 3
1666 2
1667 2
429 2
622 1
622 2
622 3
621 1
621 2
573 1
573 2
522 1
522 2
572 1
572 2
726 1
726 2
725 1
725 2
724 1
724 2
723 1
723 2
722 1
722 2
722 3
721 1
721 2
721 3
1722 2
471 2
473 1
473 2
1708 2
665 2
525 1
525 2
426 2
477 1
477 2
529 1
529 2
529 3
374 2
581 1
581 2
1743 2
704 2
680 1
680 2
681 1
681 2
682 1
682 2
635 1
635 2
634 1
634 2
1678 2
636 1
636 2
744 2
667 2
745 2
666 2
706 2
1704 2
519 2
1565 2
569 2
314 2
480 1
480 2
481 1
481 2
479 2
478 2
428 2
427 2
579 1
579 2
579 3
520 2
520 3
571 1
571 2
1617 2
514 2
565 2
513 2
375 2
376 2
659 2
315 2
633 1
633 2
1619 2
1618 2
637 1
637 2
620 2
1662 2
515 2
518 2
861 1
861 2
850 2
849 1
849 2
1563 2
517 2
1564 2
643 1
643 2
687 1
687 2
644 1
644 2
691 1
691 2
690 1
689 1
689 2
326 2
432 2
524 1
524 2
472 2
589 1
589 2
588 1
588 2
755 1
755 2
755 3
1614 2
563 2
568 2
1747 2
727 1
727 2
683 1
683 2
684 1
684 2
685 1
685 2
1452 2
1561 2
1611 2
1613 2
470 2
564 2
486 1
486 2
537 1
537 2
435 1
435 2
434 1
434 2
546 1
546 2
597 1
597 2
590 1
590 2
591 1
591 2
592 1
592 2
641 1
641 2
642 1
642 2
595 1
595 2
596 1
596 2
594 1
594 2
545 1
545 2
593 1
705 2
1764 2
1763 2
640 1
640 2
541 1
541 2
1744 2
1610 2
542 2
639 1
639 2
638 1
638 2
730 1
730 2
768 1
768 2
769 1
769 2
800 1
801 1
801 2
767 1
767 2
802 1
802 2
1679 2
729 1
729 2
686 1
686 2
728 1
728 2
770 1
770 2
733 2
829 2
851 2
1759 2
688 1
688 2
732 2
731 2
