tilesType	timeallocationType	scheduleType	Ntiles	efficiencyMetric	efficiencyMetric_err	injection
moc	powerlaw	greedy	10	0.012004551235693467	0.0034438992414591745	neutron_precursor3
moc	powerlaw	greedy	10	2.240686536640785e-05	0.0001496875522506541	rpft_m005_v2
moc	powerlaw	greedy	10	0.00029735044026574724	0.0005452174089126474	APR4-1215_k1
moc	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
moc	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
moc	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
moc	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
moc	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
moc	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
moc	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
moc	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
moc	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
moc	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
moc	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
moc	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
ranked	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
ranked	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
ranked	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
ranked	powerlaw	greedy	10	0.09839404926678795	0.009418739848603572	neutron_precursor3
ranked	powerlaw	greedy	10	0.00041058049390736934	0.0006406339965732322	rpft_m005_v2
ranked	powerlaw	greedy	10	0.004881254962205673	0.002203957420686619	APR4-1215_k1
